layer,sv_norm,fisher_discriminability,mean_proj_allc,mean_proj_alld,cosine_to_primary
0,0.0,0.0,0.0,0.0,0.0
1,1.5517557859420776,15.664962768554688,-3.698770046234131,-5.250525951385498,-0.006083356216549873
2,1.6031649112701416,15.491063117980957,-4.212007522583008,-5.8151726722717285,-0.01748465746641159
3,1.754278302192688,15.171602249145508,-5.493420600891113,-7.2476983070373535,-0.01510509755462408
4,1.988120436668396,15.709986686706543,-1.3910149335861206,-3.3791351318359375,-0.012339671142399311
5,2.2615902423858643,14.660948753356934,2.799711227416992,0.5381203889846802,-0.004029443953186274
6,2.5926809310913086,17.80084991455078,1.9321104288101196,-0.6605700850486755,-0.009517520666122437
7,2.742483615875244,17.520883560180664,5.7684760093688965,3.0259928703308105,-0.005790994968265295
8,2.876146078109741,17.4433650970459,2.750420093536377,-0.1257268190383911,-0.007536813151091337
9,2.8053600788116455,15.866523742675781,-3.010363817214966,-5.815723419189453,-0.011590861715376377
10,2.9502193927764893,16.081058502197266,-12.428245544433594,-15.378463745117188,-0.0049111442640423775
11,3.216587781906128,18.26580047607422,-22.24172592163086,-25.458316802978516,0.0013865811051800847
12,3.3982014656066895,19.520280838012695,-27.383678436279297,-30.781885147094727,0.02147519402205944
13,3.4447579383850098,24.751367568969727,-17.493816375732422,-20.938573837280273,0.018226701766252518
14,3.436711549758911,25.326107025146484,-9.788823127746582,-13.225534439086914,0.019734183326363564
15,3.4758529663085938,30.247873306274414,-3.3956642150878906,-6.871518611907959,0.01715487241744995
16,3.4448680877685547,23.90232276916504,-1.874420166015625,-5.3192877769470215,0.011134370230138302
17,3.4340412616729736,17.610002517700195,3.826512098312378,0.3924708366394043,0.003387177363038063
18,3.611114263534546,25.61756134033203,6.869953155517578,3.2588391304016113,-0.002974548377096653
19,3.573272228240967,25.135059356689453,6.264203071594238,2.690930128097534,0.006540932692587376
20,3.5481526851654053,22.370054244995117,0.8469921350479126,-2.7011611461639404,0.00519936578348279
21,3.560067892074585,12.922245979309082,8.658658981323242,5.0985918045043945,-0.0027125251945108175
22,3.8674745559692383,12.309046745300293,0.5265775322914124,-3.340897798538208,-0.014323903247714043
23,4.509459018707275,11.391680717468262,-2.659827709197998,-7.169285774230957,-0.010523216798901558
24,4.724069118499756,9.2586030960083,0.6657465696334839,-4.058324813842773,-0.017259672284126282
25,5.787467956542969,8.262184143066406,-5.691909313201904,-11.479379653930664,-0.001964692259207368
26,8.101356506347656,10.68653392791748,-1.0163358449935913,-9.117692947387695,-0.002830766374245286
27,9.347885131835938,12.059625625610352,-11.237056732177734,-20.584941864013672,-0.00873532984405756
28,9.973581314086914,10.488940238952637,-1.5157825946807861,-11.489363670349121,-0.010172056965529919
29,11.436927795410156,18.462343215942383,-1.0472103357315063,-12.484136581420898,0.003957516048103571
30,12.088196754455566,23.922277450561523,5.855856895446777,-6.2323408126831055,-0.0004364820197224617
31,13.866612434387207,19.879335403442383,-4.22402286529541,-18.090633392333984,0.004375446122139692
32,16.50100326538086,23.08355712890625,5.0675482749938965,-11.433452606201172,0.03724198043346405
33,16.82072639465332,16.976051330566406,4.405270576477051,-12.415453910827637,0.04484343156218529
